Invertebrate Abundances by Beach Site by Field Survey

survey_date,epoch,beach,Amphipods,D variabilis,E talpoida,O quadrata,S squamata,survey,epoch,area
2012 01,pre-replenishment,Control Beach,0.00,0.00,0.50,0.00,0.00
2012 01,Replenished Beach,0.00,0.00,1.00,0.00,0.00
2012 04,pre-replenishment,Control Beach,0.33,0.00,0.83,2.00,0.00
2012 04,Replenished Beach,0.40,0.00,1.80,2.00,0.00
2012 07,pre-replenishment,Control Beach,0.67,2.83,32.67,1.83,0.00
2012 07,Replenished Beach,0.00,3.80,43.60,1.20,0.00
2012 10,pre-replenishment,Control Beach,1.33,1.83,5.67,2.67,0.00
2012 10,Replenished Beach,0.40,1.60,5.60,1.60,0.40
2013 01,pre-replenishment,Control Beach,0.67,0.83,2.17,0.17,0.00
2013 01,Replenished Beach,0.00,0.20,0.00,0.00,0.00
2013 04,pre-replenishment,Control Beach,2.67,0.17,0.33,0.33,0.00
2013 04,Replenished Beach,1.80,0.00,0.80,1.00,0.00
2013 07,pre-replenishment,Control Beach,4.17,1.00,18.67,0.83,0.17
2013 07,Replenished Beach,1.20,1.00,36.80,0.80,0.40
2013 10,pre-replenishment,Control Beach,0.00,0.33,15.17,2.00,0.00
2013 10,Replenished Beach,0.00,1.00,18.20,2.60,0.00
2014 01,pre-replenishment,Control Beach,0.00,0.00,0.00,0.00,0.00
2014 01,Replenished Beach,0.00,0.00,0.00,0.00,0.00
2014 04,pre-replenishment,Control Beach,0.00,0.00,0.00,0.50,0.00
2014 04,Replenished Beach,0.00,0.00,0.00,0.20,0.00
2014 07,pre-replenishment,Control Beach,0.09,1.45,58.18,2.18,0.00
2014 07,Replenished Beach,1.55,3.82,36.00,1.55,0.00
2014 09,post-replenishment,Control Beach,0.45,3.00,7.73,6.18,0.00
2014 09,Replenished Beach,0.64,0.82,6.73,3.55,0.00
2015 01,post-replenishment,Control Beach,0.00,0.00,0.00,0.00,0.00
2015 01,Replenished Beach,0.00,0.00,0.80,0.00,0.00
2015 04,post-replenishment,Control Beach,0.00,0.00,0.18,2.09,0.00
2015 04,Replenished Beach,0.09,0.00,1.73,1.18,0.00
2015 08,post-replenishment,Control Beach,2.64,11.00,40.00,1.73,0.27
2015 08,Replenished Beach,0.45,9.73,44.45,0.91,0.09
2015 10,post-replenishment,Control Beach,1.00,0.36,3.27,1.91,0.00
2015 10,Replenished Beach,0.55,2.27,6.64,0.82,0.00
2016 02,post-replenishment,Control Beach,0.00,0.00,0.00,0.00,0.09
2016 02,Replenished Beach,0.09,0.09,0.00,0.00,0.00
2016 05,post-replenishment,Control Beach,0.00,0.00,0.36,1.73,0.00
2016 05,Replenished Beach,0.00,0.00,0.73,0.73,0.00
2016 08,post-replenishment,Control Beach,0.00,1.36,20.36,1.00,0.00
2016 08,Replenished Beach,0.00,1.82,39.45,0.73,0.45
2016 10,post-replenishment,Control Beach,0.00,0.09,1.64,3.64,0.00
2016 10,Replenished Beach,0.00,0.64,1.27,3.73,0.00
2017 02,post-replenishment,Control Beach,0.00,0.00,0.00,0.00,0.00
2017 02,Replenished Beach,0.00,0.00,0.45,0.00,0.00
2017 04,post-replenishment,Control Beach,0.00,0.00,1.00,3.45,0.00
2017 04,Replenished Beach,0.00,0.00,0.36,2.45,0.09
2017 08,post-replenishment,Control Beach,0.09,2.45,39.91,2.45,0.36
2017 08,Replenished Beach,0.09,2.27,54.00,2.73,0.09
2017 10,post-replenishment,Control Beach,0.00,0.50,9.83,1.00,0.00
2017 10,Replenished Beach,0.00,0.20,30.80,0.60,0.00
2018 01,post-replenishment,Control Beach,0.17,0.00,1.50,0.17,0.00
2018 01,Replenished Beach,0.00,0.00,4.20,0.00,0.00
2018 08,post-replenishment,Control Beach,0.00,0.17,4.00,0.67,0.00
2018 08,Replenished Beach,0.20,1.40,10.40,1.00,0.00
2018 10,post-replenishment,Control Beach,0.00,0.00,2.33,0.50,0.00
2018 10,Replenished Beach,0.20,0.20,11.20,0.40,0.00
2019 01,post-replenishment,Control Beach,0.00,0.00,0.00,0.00,0.00
2019 01,Replenished Beach,0.00,0.00,0.00,0.00,0.00
2019 05,post-replenishment,Control Beach,0.83,1.50,36.67,1.33,0.00
2019 05,Replenished Beach,1.60,4.20,52.80,1.20,0.00
2019 10,post-replenishment,Control Beach,0.17,0.67,25.00,2.17,0.00
2019 10,Replenished Beach,0.00,0.00,18.40,1.20,0.00
2020 01,post-replenishment,Control Beach,0.18,0.00,1.18,0.09,0.00
2020 01,Replenished Beach,0.00,0.00,0.73,0.27,0.18
2020 04,post-replenishment,Control Beach,0.00,0.00,3.27,0.36,0.00
2020 04,Replenished Beach,0.00,0.00,6.45,1.27,0.00
2020 07,post-replenishment,Control Beach,0.00,0.00,23.18,1.27,0.91
2020 07,Replenished Beach,0.18,0.09,43.91,0.18,0.00
2020 10,post-replenishment,Control Beach,0.00,0.00,2.73,0.82,0.00
2020 10,Replenished Beach,0.00,0.00,3.00,0.45,0.00


